TimeStample;Qi
01-01-2019 02:00;0.046944821
01-01-2019 05:00;0.090726515
01-01-2019 08:00;0.030627102
01-01-2019 11:00;0.009037506
01-01-2019 14:00;0.034141688
01-01-2019 17:00;0.096600894
01-01-2019 20:00;0.072651504
01-01-2019 23:00;0.061605664
02-01-2019 02:00;0.016317719
02-01-2019 05:00;0.073906713
02-01-2019 08:00;0.084450469
02-01-2019 11:00;0.061153788
02-01-2019 14:00;0.021539388
02-01-2019 17:00;0.119194658
02-01-2019 20:00;0.158256766
02-01-2019 23:00;0.123864036
03-01-2019 02:00;0.038359191
03-01-2019 05:00;0.067480042
03-01-2019 08:00;0.086107345
03-01-2019 11:00;0.073555254
03-01-2019 14:00;0.025706683
03-01-2019 17:00;0.031480645
03-01-2019 20:00;0.083546719
03-01-2019 23:00;0.073655671
04-01-2019 02:00;0.034844605
04-01-2019 05:00;0.099964854
04-01-2019 08:00;0.048852739
04-01-2019 11:00;0.026911683
04-01-2019 14:00;0.042476277
04-01-2019 17:00;0.02947231
04-01-2019 20:00;0.190741578
04-01-2019 23:00;0.065471708
05-01-2019 02:00;0.034844605
05-01-2019 05:00;0.048852739
05-01-2019 08:00;0.062810664
05-01-2019 11:00;0.017171261
05-01-2019 14:00;0.025556058
05-01-2019 17:00;0.16794698
05-01-2019 20:00;0.058743787
05-01-2019 23:00;0.068835668
06-01-2019 02:00;0.132499874
06-01-2019 05:00;0.016317719
06-01-2019 08:00;0.030225436
06-01-2019 11:00;0.019079179
06-01-2019 14:00;0.086509012
06-01-2019 17:00;0.138374253
06-01-2019 20:00;0.117688407
06-01-2019 23:00;0.100115479
07-01-2019 02:00;0.095295476
07-01-2019 05:00;0.067429834
07-01-2019 08:00;0.01626751
07-01-2019 11:00;0.043028569
07-01-2019 14:00;0.080534217
07-01-2019 17:00;0.090425265
07-01-2019 20:00;0.159511975
07-01-2019 23:00;0.142742381
08-01-2019 02:00;0.01626751
08-01-2019 05:00;0.01626751
08-01-2019 08:00;0.081337551
08-01-2019 11:00;0.054375659
08-01-2019 14:00;0.034242105
08-01-2019 17:00;0.143646131
08-01-2019 20:00;0.110809861
08-01-2019 23:00;0.172967816
09-01-2019 02:00;0.084299844
09-01-2019 05:00;0.102625897
09-01-2019 08:00;0.051413365
09-01-2019 11:00;0.135612793
09-01-2019 14:00;0.22965306
09-01-2019 17:00;0.095646935
09-01-2019 20:00;0.290857057
09-01-2019 23:00;0.222573681
10-01-2019 02:00;0.012050008
10-01-2019 05:00;0.016669177
10-01-2019 08:00;0.114324446
10-01-2019 11:00;0.192649495
10-01-2019 14:00;0.089923181
10-01-2019 17:00;0.063463373
10-01-2019 20:00;0.219008887
10-01-2019 23:00;0.179143445
11-01-2019 02:00;0.128282372
11-01-2019 05:00;0.044585028
11-01-2019 08:00;0.095697143
11-01-2019 11:00;0.081839634
11-01-2019 14:00;0.129788623
11-01-2019 17:00;0.136516544
11-01-2019 20:00;0.209820756
